ZoomInfo Company ID,Company Name,Website,Employees,Employee Range,SIC Code 1,SIC Code 2,SIC Codes,NAICS Code 1,NAICS Code 2,NAICS Codes,Primary Industry,Primary Sub-Industry,All Industries,All Sub-Industries,Industry Hierarchical Category,Secondary Industry Hierarchical Category,Alexa Rank,ZoomInfo Company Profile URL,LinkedIn Company Profile URL,Facebook Company Profile URL,Twitter Company Profile URL,Ownership Type,Business Model,Certified Active Company,Certification Date,Total Funding Amount (in 000s USD),Recent Funding Amount (in 000s USD),Recent Funding Round,Recent Funding Date,Recent Investors,All Investors,Company Street Address,Company City,Company State,Company Zip Code,Company Country,Full Address,Number of Locations,Company Is Acquired,Company ID (Ultimate Parent),Entity Name (Ultimate Parent),Company ID (Immediate Parent),Entity Name (Immediate Parent),Relationship (Immediate Parent),Query Name
"255918290","ZACKS","www.zacks.com","458","Employees.250to499","6282","7389","62;628;6282;73;738;7389","519290","51929","51;519;5192;51929;519290","Media & Internet","Data Collection & Internet Portals","Media & Internet;Finance","Data Collection & Internet Portals;Investment Banking","media","media.data","14730","https://app.zoominfo.com/#/apps/profile/company/255918290","http://www.linkedin.com/company/zacks-investment-research","http://www.facebook.com/zacksinvestmentresearch","http://www.twitter.com/zacksresearch","Private","B2B","Yes","July 13, 2024","0","0","","","","","10 S Riverside Plz Ste 1600","Chicago","Illinois","60606","United States","10 S Riverside Plz Ste 1600, Chicago, Illinois, 60606, United States","1","","","","","","","instantexportexcel1789639591758"
"355914619","Cloudinary","www.cloudinary.com","425","Employees.250to499","7372","7374","73;737;7372;7374;7379","513210","518210","51;513;5132;51321;513210;518;5182;51821;518210","Software","Storage & System Management Software","Software","Storage & System Management Software;Content & Collaboration Software;Engineering Software","software","software.storage","8151","https://app.zoominfo.com/#/apps/profile/company/355914619","http://www.linkedin.com/company/cloudinary","http://www.facebook.com/cloudinary","http://www.twitter.com/cloudinary","Private","B2B","Yes","May 06, 2024","100000","100000","Private Equity","February 15, 2022","Blackstone","Blackstone;Bessemer Venture Partners","3400 Central Expy Ste 110","Santa Clara","California","95051","United States","3400 Central Expy Ste 110, Santa Clara, California, 95051, United States","9","","","","","","","instantexportexcel1789639591758"
"129467523","HCSS","www.hcss.com","400","Employees.250to499","7371","7372","73;737;7371;7372;7373","513210","51321","51;513;5132;51321;513210","Software","Engineering Software","Software","Engineering Software","software","software.eng","894661","https://app.zoominfo.com/#/apps/profile/company/129467523","http://www.linkedin.com/company/hcss","http://www.facebook.com/hcss4construction","http://www.x.com/hcss","Private","B2B","Yes","March 12, 2026","0","0","Private Equity","September 15, 2021","Thoma Bravo","Thoma Bravo","13151 W Airport Blvd","Sugar Land","Texas","77478","United States","13151 W Airport Blvd, Sugar Land, Texas, 77478, United States","4","","","","","","","instantexportexcel1789639591758"
"147701774","Tufin","www.tufin.com","500","Employees.500to999","7371","7372","73;737;7371;7372;7379","513210","541511","51;513;5132;51321;513210;54;541;5415;54151;541511;541512","Software","Security Software","Software","Security Software;Networking Software","software","software.security","586362","https://app.zoominfo.com/#/apps/profile/company/147701774","http://www.linkedin.com/company/tufin-technologies","http://www.facebook.com/tufintech","http://www.x.com/tufintech","Private","B2B","Yes","June 05, 2025","120500","0","Private Equity","August 25, 2022","Turn/River Capital","Marker Foundation;Vintage Investment Partners;Turn/River Capital;Undisclosed","10 Summer St","Boston","Massachusetts","02110","United States","10 Summer St, Boston, Massachusetts, 02110, United States","1","","","","","","","instantexportexcel1789639591758"
"37309326","eGain","www.egain.com","420","Employees.250to499","7372","7374","73;737;7372;7374;7379","513210","518210","51;513;5132;51321;513210;518;5182;51821;518210","Software","Customer Relationship Management (CRM) Software","Software","Customer Relationship Management (CRM) Software","software","software.crm","2723485","https://app.zoominfo.com/#/apps/profile/company/37309326","http://www.linkedin.com/company/egain-corporation","http://www.facebook.com/egain","http://www.twitter.com/egain","Public","B2B","Yes","September 16, 2025","60000","60000","Stock Issuance/Offering","September 22, 1999","","","1252 Borregas Ave","Sunnyvale","California","94089","United States","1252 Borregas Ave, Sunnyvale, California, 94089, United States","4","","","","","","","instantexportexcel1789639591758"
"346930630","Reltio","www.reltio.com","500","Employees.500to999","7372","7374","73;737;7372;7374","513210","518210","51;513;5132;51321;513210;518;5182;51821;518210","Software","Database & File Management Software","Software","Database & File Management Software","software","software.db","334477","https://app.zoominfo.com/#/apps/profile/company/346930630","http://www.linkedin.com/company/reltio-inc","http://www.facebook.com/reltiohub","http://www.twitter.com/reltio","Private","B2B","Yes","May 10, 2024","239400","120000","Unspecified","November 04, 2021","Rps Ventures;NewView Capital;Brighton Park Capital;Crosslink Capital","Crosslink Capital;406 Ventures;Cross Link Capital;Sapphire Ventures;New Enterprise Associates;PPP;.406 Ventures;Crosslink Capital;Rps Ventures;NewView Capital;Brighton Park Capital;Crosslink Capital","100 Marine Pkwy Ste 275","Redwood City","California","94065","United States","100 Marine Pkwy Ste 275, Redwood City, California, 94065, United States","2","","","","","","","instantexportexcel1789639591758"
"357932380","Evolv","www.evolvtechnology.com","286","Employees.250to499","7372","737","73;737;7372","513210","561621","51;513;5132;51321;513210;56;561;5616;56162;561621","Business Services","Security Products & Services","Business Services;Software","Security Products & Services;Security Software","bizservice","bizservice.security","1643141","https://app.zoominfo.com/#/apps/profile/company/357932380","http://www.linkedin.com/company/evolv-technology","http://www.facebook.com/evolvtechnology","http://www.x.com/evolvtechnology","Public","B2B","Yes","July 07, 2026","167319","75000","Debt","December 21, 2022","Silicon Valley Bank","NewHold Investment Corp.;Data Collective;General Catalyst;Gates Ventures;Lux Capital;Silicon Valley Bank;Finback Investment Partners;Lux Capital;General Catalyst Partners;Bill Gates;SineWave Ventures;DCVC (Data Collective);Stanley Black & Decker;Horizons Ventures","500 Totten Pond Rd Fl 4","Waltham","Massachusetts","02451","United States","500 Totten Pond Rd Fl 4, Waltham, Massachusetts, 02451, United States","1","","","","","","","instantexportexcel1789639591758"
"9176985","Boingo","www.boingo.com","500","Employees.500to999","4812","4813","48;481;4812;4813","513210","517112","51;513;5132;51321;513210;517;5171;51711;517112;518;5182;51821;518210","Telecommunications","Internet Service Providers, Website Hosting & Internet-related Services","Telecommunications","Internet Service Providers, Website Hosting & Internet-related Services","telecom","telecom.internet","287692","https://app.zoominfo.com/#/apps/profile/company/9176985","http://www.linkedin.com/company/boingo-wireless","http://www.facebook.com/boingo","http://www.twitter.com/boingo","Private","B2B","Yes","February 26, 2026","217965","50000","Debt","November 26, 2014","Bank of America Merrill Lynch;Silicon Valley Bank","Red Rock Ventures;Mitsui Corporate Development Funds;Steelpoint Capital Partners;Mitsui & Co.;Bank of America Merrill Lynch;Silicon Valley Bank;Mitsui & Co. Venture Partners;Mitsui & Co. Venture Partners;New Enterprise Associates;Peter Barris;eCompanies Wireless;John Sidgmore;Auston Beutner;Amy Bersch;Stewart Alsop;Masami Kawahara;Peter Hovenier;Sternhill Partners;Sky Dayton;David Hagan;Credit Suisse;Deutsche Bank;Sprint eWireless;The Dayton Family Trust of 1999;New Enterprise Associates","17 Cowboys Way Ste 400","Frisco","Texas","75034","United States","17 Cowboys Way Ste 400, Frisco, Texas, 75034, United States","4","","","","","","","instantexportexcel1789639591758"
"47859617","Exegy","www.exegy.com","437","Employees.250to499","7379","737","73;737;7379","513210","518210","51;513;5132;51321;513210;518;5182;51821;518210;54;541;5415;54151;541511;541512","Software","Financial Software","Software","Financial Software","software","software.finance","1326385","https://app.zoominfo.com/#/apps/profile/company/47859617","http://www.linkedin.com/company/exegy","http://www.facebook.com/exegymarketdata","http://www.x.com/exegyinc","Private","B2B","Yes","May 13, 2026","12000","2000","Debt","April 09, 2020","PPP","NewSpring Capital;PPP","349 Marshall Ave Ste 100","Saint Louis","Missouri","63119","United States","349 Marshall Ave Ste 100, Saint Louis, Missouri, 63119, United States","1","","","","","","","instantexportexcel1789639591758"
"11829775","Timely by DrFirst","www.drfirst.com","457","Employees.250to499","7371","7372","73;737;7371;7372;7374;7379","513210","541511","51;513;5132;51321;513210;54;541;5415;54151;541511;541512","Software","Healthcare Software","Software","Healthcare Software","software","software.health","24676","https://app.zoominfo.com/#/apps/profile/company/11829775","http://www.linkedin.com/company/drfirst","http://www.facebook.com/drfirstinc","http://www.twitter.com/drfirst","Private","B2B","Yes","June 21, 2024","142500","50000","Other Financing Round","May 12, 2021","Sixth Street","Silicon Valley Bank;SunTrust Bank;SunTrust Banks;Goldman Sachs;Sixth Street;Goldman Sachs","9420 Key West Ave Ste 230","Rockville","Maryland","20850","United States","9420 Key West Ave Ste 230, Rockville, Maryland, 20850, United States","3","","","","","","","instantexportexcel1789639591758"
"354977229","Everlaw","www.everlaw.com","500","Employees.500to999","7372","7374","73;737;7372;7374;7379","513210","518210","51;513;5132;51321;513210;518;5182;51821;518210;54;541;5415;54151;541511;541512","Software","Legal Software","Software","Legal Software","software","software.legal","216020","https://app.zoominfo.com/#/apps/profile/company/354977229","http://www.linkedin.com/company/everlaw","http://www.facebook.com/everlaw.inc","http://www.x.com/everlaw","Private","B2B","Yes","June 18, 2024","297950","202000","Series D","November 02, 2021","CapitalG Management;Menlo Ventures;K9 Ventures;Andreessen Horowitz;H.I.G. Growth Partners;TPG","Menlo Ventures;Andreessen Horowitz;CapitalG Management;Menlo Ventures;K9 Ventures;Andreessen Horowitz;H.I.G. Growth Partners;TPG;K9 Ventures;Ulu Ventures;Menlo Ventures;Andreessen Horowitz;CapitalG;K9 Ventures;Andreessen Horowitz","2101 Webster St Ste 1500","Oakland","California","94612","United States","2101 Webster St Ste 1500, Oakland, California, 94612, United States","4","","","","","","","instantexportexcel1789639591758"
"96553191","Single Digits","www.singledigits.com","424","Employees.250to499","4813","7374","48;481;4813;73;737;7374;7379","517111","51711","51;517;5171;51711;517111","Telecommunications","Internet Service Providers, Website Hosting & Internet-related Services","Telecommunications;Business Services","Internet Service Providers, Website Hosting & Internet-related Services;Custom Software & IT Services","telecom","telecom.internet","1540970","https://app.zoominfo.com/#/apps/profile/company/96553191","http://www.linkedin.com/company/single-digits-inc-","","http://www.twitter.com/singledigitsinc","Private","B2B","Yes","June 12, 2024","11558","0","Private Equity","January 03, 2019","GI Partners","GI Partners;Bregal Sagemount","4 Bedford Farms Dr Ste 210","Bedford","New Hampshire","03110","United States","4 Bedford Farms Dr Ste 210, Bedford, New Hampshire, 03110, United States","3","","","","","","","instantexportexcel1789639591758"
"425699272","Weka","www.weka.io","400","Employees.250to499","7372","7374","73;737;7372;7374","513210","518210","51;513;5132;51321;513210;518;5182;51821;518210;54;541;5415;54151;541512","Software","Storage & System Management Software","Software","Storage & System Management Software","software","software.storage","451838","https://app.zoominfo.com/#/apps/profile/company/425699272","http://www.linkedin.com/company/weka-io","http://www.facebook.com/weka.io","http://www.twitter.com/wekaio","Private","B2B","Yes","June 10, 2024","390700","140000","Series E","May 15, 2024","Hitachi Ventures;Ibex Investors;Valor Global","Micron;Hitachi Ventures;NVIDIA;MoreTech VC;Key One Capital Mortgage;Hewlett Packard Enterprise;Cisco;Ibex Investors;Atreides Management;Generation Investment Management;10d;Norwest Venture Partners;Gemini Israel Ventures;Qualcomm Ventures;PPP;Hitachi Ventures;Ibex Investors;Valor Global","910 E Hamilton Ave Ste 430","Campbell","California","95008","United States","910 E Hamilton Ave Ste 430, Campbell, California, 95008, United States","7","","","","","","","instantexportexcel1789639591758"
"355859718","Matterport","www.matterport.com","455","Employees.250to499","7372","7374","73;737;7372;7374;7379","513210","518210","51;513;5132;51321;513210;518;5182;51821;518210","Software","Multimedia, Games & Graphics Software","Software","Multimedia, Games & Graphics Software","software","software.videogames","4408","https://app.zoominfo.com/#/apps/profile/company/355859718","http://www.linkedin.com/company/matterport","http://www.facebook.com/matterport","http://www.twitter.com/matterport","Private","B2B","Yes","April 07, 2026","746080","640000","Private Equity","July 22, 2021","The Gores Group","Red Swan Ventures;Lux Capital;Greylock Partners;Qualcomm Ventures;Felicis Ventures;Rothenberg Ventures;Qualcomm Ventures;GIC;Felicis Ventures;Lux Capital;AME Cloud Ventures;Greylock Partners;Qualcomm Ventures;DCM Ventures;Navitas Capital;Rothenberg Ventures;Red Swan Ventures;Felicis Ventures;State Auto Labs;Gordon Segal;Lux Capital;Navitas Ventures;Qualcomm Ventures;GIC;Ericsson Ventures;DCM Ventures;CBRE;iGlobe Partners;Rev1 Ventures' Companies;Felicis Ventures;AME Cloud;Lux Capital;Qualcomm Ventures;DCM Ventures;The Gores Group;Y Combinator;Luminari Capital;Felicis Ventures;Navitas Capital;News Corp;iGlobe;Lux Capital;AME Cloud Ventures;Greylock Partners;Qualcomm Ventures;GIC;Sound Ventures;CBRE;DCM Ventures","352 E Java Dr","Sunnyvale","California","94089","United States","352 E Java Dr, Sunnyvale, California, 94089, United States","9","","","","","","","instantexportexcel1789639591758"
"345564255","CheckAlt","www.checkalt.com","260","Employees.250to499","7372","7374","73;737;7372;7374","513210","518210","51;513;5132;51321;513210;518;5182;51821;518210","Software","Financial Software","Software;Business Services","Financial Software;Custom Software & IT Services","software","software.finance","8293802","https://app.zoominfo.com/#/apps/profile/company/345564255","http://www.linkedin.com/company/checkalt","http://www.facebook.com/checkalt","http://www.twitter.com/checkalt","Private","B2B","Yes","June 16, 2022","350","350","Debt","April 13, 2020","PPP","PPP","711 Executive Blvd Ste H","Valley Cottage","New York","10989","United States","711 Executive Blvd Ste H, Valley Cottage, New York, 10989, United States","2","","","","","","","instantexportexcel1789639591758"
"59901406","Iteris","www.iteris.com","454","Employees.250to499","3829","7372","38;382;3829;73;737;7372;7373;7379","541330","541511","54;541;5413;54133;541330;5415;54151;541511;541512;5416;54161;541618","Software","Engineering Software","Software;Business Services","Engineering Software;Custom Software & IT Services;Business Intelligence (BI) Software;Management Consulting;Mobile App Development","software","software.eng","4352645","https://app.zoominfo.com/#/apps/profile/company/59901406","http://www.linkedin.com/company/iteris-inc-","","http://www.twitter.com/iteris","Private","B2B","Yes","January 02, 2025","0","0","","","","","1250 S Capital of Texas Hwy Bldg 1 Ste 330","West Lake Hills","Texas","78746","United States","1250 S Capital of Texas Hwy Bldg 1 Ste 330, West Lake Hills, Texas, 78746, United States","21","","","","","","","instantexportexcel1789639591758"
"354283951","Innovid","www.innovid.com","466","Employees.250to499","7311","7371","73;731;7311;737;7371;7372;7374;7379","541519","54151","54;541;5415;54151;541519","Business Services","Custom Software & IT Services","Business Services;Software","Custom Software & IT Services;Advertising & Marketing;Mobile App Development","bizservice","bizservice.techconsulting","11482","https://app.zoominfo.com/#/apps/profile/company/354283951","http://www.linkedin.com/company/innovid","http://www.facebook.com/innovid","http://www.twitter.com/innovid","Private","B2B","Yes","July 15, 2025","95099","30000","Private Equity","January 07, 2019","Goldman Sachs Private Capital Investing","Silicon Valley Bank;Triple Point Capital;Genesis Partners;T-Venture;Steamboat Ventures;Deutsche Telekom Capital Partners;Genesis Partners;Genesis Partners;Cisco Investments;T-Venture;Steamboat Ventures;Genesis Partners;Goldman Sachs Private Capital Investing;Cisco Ventures;Steamboat Ventures;Genesis Partners;T-Venture;NewSpring Capital;Steamboat Ventures;Genesis Partners;Vintage Investment Partners;T-Venture","30 Irving Pl Fl 12","New York","New York","10003","United States","30 Irving Pl Fl 12, New York, New York, 10003, United States","3","","","","","","","instantexportexcel1789639591758"
"100451205","Lantronix","www.lantronix.com","351","Employees.250to499","3663","3669","36;366;3663;3669;73;737;7372;7373","334220","513210","33;334;3342;33422;334220;51;513;5132;51321;513210;518;5182;51821;518210;54;541;5415;54151;541512","Manufacturing","Telecommunication Equipment","Manufacturing;Business Services;Software","Telecommunication Equipment;Custom Software & IT Services;Networking Software","mfg","mfg.telecom","172762","https://app.zoominfo.com/#/apps/profile/company/100451205","http://www.linkedin.com/company/lantronix","http://www.facebook.com/lantronixiot","http://www.x.com/lantronix","Public","B2B","Yes","August 28, 2025","81000","15000","Debt","August 25, 2025","Silicon Valley Bank","Silicon Valley Bank;Silicon Valley Bank","48 Discovery Ste 250","Irvine","California","92618","United States","48 Discovery Ste 250, Irvine, California, 92618, United States","9","","","","","","","instantexportexcel1789639591758"
"13534186","Everstream","www.everstream.net","494","Employees.250to499","4813","481","48;481;4813","517111","51711","51;517;5171;51711;517111","Telecommunications","Telephony & Wireless","Telecommunications","Telephony & Wireless;Internet Service Providers, Website Hosting & Internet-related Services","telecom","telecom.telephone","2387039","https://app.zoominfo.com/#/apps/profile/company/13534186","http://www.linkedin.com/company/everstream-solutions-llc","http://www.facebook.com/everstream.net","http://www.twitter.com/everstreamnet","Private","B2B","Yes","March 25, 2024","1532500","1000000","Debt","April 01, 2022","RBC;Societe Generale;TD;ING;Santander;Natixis;Macquarie;CoBank;DigitalBridge Credit;Vantage Infrastructure;SMBC Group","Webster Bank;Fifth Third Bank;TD Bank;Regions Financial Corp.;CoBank;M/C Partners;J.P. Morgan Asset Management;Webster Bank;TD Bank;Regions Financial Corp;Fifth Third Bank;CoBank;RBC;Societe Generale;TD;ING;Santander;Natixis;Macquarie;CoBank;DigitalBridge Credit;Vantage Infrastructure;SMBC Group","1228 Euclid Ave Ste 250","Cleveland","Ohio","44115","United States","1228 Euclid Ave Ste 250, Cleveland, Ohio, 44115, United States","9","","","","","","","instantexportexcel1789639591758"
"157483243","Stem","www.stem.com","423","Employees.250to499","3691","3699","36;369;3691;3699;73;737;7372;7373","221114","513210","22;221;2211;22111;221114;51;513;5132;51321;513210;518;5182;51821;518210;54;541;5415;54151;541512","Software","Supply Chain Management (SCM) Software","Software;Manufacturing","Supply Chain Management (SCM) Software;Industrial Machinery & Equipment","software","software.scm","186190","https://app.zoominfo.com/#/apps/profile/company/157483243","http://www.linkedin.com/company/stem-inc-","","http://www.twitter.com/stempowered","Public","B2B","Yes","November 01, 2024","1856097","1580000","Stock Issuance/Offering","May 27, 2021","","Iberdrola;GE Ventures;Angeleno Group;Greenercap;Angeleno Group;Starwood Capital Group;GE Ventures;Iberdrola;Constellation;Mithril Capital Management;Mitsui & Co., Ltd;Angeleno Group;Constellation Technology Ventures;Total Energy Ventures;Temasek Holdings;Magnesium Capital;BNP Paribas;Activate Capital;Ontario Teachers Pension Plan","100 California St Fl 14","San Francisco","California","94111","United States","100 California St Fl 14, San Francisco, California, 94111, United States","8","","","","","","","instantexportexcel1789639591758"
