company_id,count
98271600,4
61506294,3
40599726,0
37847,1
352356162,4
34425663,0
397693736,1
102580917,0
24200040,8
370828174,10
255918290,7
355914619,0
129467523,13
147701774,4
37309326,3
346930630,7
357932380,2
9176985,0
47859617,0
11829775,4
354977229,13
96553191,0
425699272,2
355859718,7
345564255,0
59901406,0
354283951,0
100451205,0
13534186,0
157483243,1
367519333,0
368644313,1
70405185,7
348653556,0
404783237,0
346952650,0
348418688,0
7520972,0
352244809,1
351910960,1
396007734,2
14385669,6
465749367,0
406087418,6
39403616,12
36012618,2
346239764,0
345591351,4
3392102,0
345572,6
374284096,4
27165138,15
371537919,3
29818989,75
555233536,0
369931131,5
416272162,0
72368479,1
43091314,0
100286864,2
434308544,26
6340733,6
371699157,9
13075524,1
22168276,1
209682550,0
70910042,0
474907172,2
347516656,10
172228950,3
118718550,3
395964867,1
3392040,1
29638863,5
346809642,1
118243463,0
37830826,0
412338781,0
51350867,0
19844368,0
358622149,0
346196354,0
357832320,13
58998805,3
34980169,0
32276938,0
29918392,20
70811655,0
18858733,4
356199120,2
1109945510,0
235389233,9
31491164,0
367467293,65
354036749,6
371363453,5
369747264,3
356814845,12
8454166,13
374859487,0
544992062,0
350884310,0
2181505,0
351843182,1
356612068,1
74418989,0
91588614,5
371784351,1
72483692,0
81955260,7
350857349,3
371826574,4
262291773,1
371611019,11
351136429,0
345018708,16
370664303,5
348864973,0
345713000,0
353782621,3
369065752,0
347383675,1
348025105,9
73566724,0
35504829,0
43107912,11
367093451,0
345685634,7
347791238,0
398392063,1
356915316,9
354165979,1
409517791,5
5739766,1
18563750,2
371574015,10
355908954,0
368150171,4
354281890,2
356287727,0
357858552,0
412828341,1
1788163,0
607098,8
373535396,18
60884997,0
18777379,2
450655734,6
365401547,0
31342733,25
369058720,18
357351022,4
401823710,2
48205290,0
66800452,12
447341134,0
6358924,0
14571517,6
353825787,0
37275916,0
346806247,2
44124446,2
4769231,0
11813568,2
59115677,2
37898185,2
347101218,2
76530343,0
1143234022,0
5603655,7
355401808,0
345416484,1
371681202,6
358019543,4
347264614,21
350601772,2
374735557,2
343816144,1
371927423,1
351895373,0
359375382,0
374846187,6
369352359,0
288866319,11
374747953,0
67175947,3
352126084,10
13566647,1
97306335,0
404621224,7
370608749,10
111398166,8
248873075,0
5392921,3
56426943,3
346770220,8
39880229,3
398476387,22
28852888,12
345829072,0
34901067,0
56886265,3
31478874,5
343545061,3
12814180,2
374945483,2
363283654,4
473970916,0
370697637,0
357488053,0
373722446,4
371763531,54
84018501,0
368329127,1
406149527,0
358389564,4
566146128,23
345948934,3
451329573,6
481374014,13
345610047,15
348151902,0
3330193,0
356950887,3
346519405,10
357301457,1
363781787,29
357194246,7
471477002,2
357187584,0
445594512,0
11207492,0
10551318,0
